junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_5_22,2,0,-0.0046,-1.6734
intersection_5_23,4,0,-0.0094,-3.3688
intersection_5_24,3,0,-0.0053,-1.8979
intersection_5_25,2,0,-0.0096,-3.4505
intersection_5_26,1,0,-0.0314,-11.3219
intersection_5_27,2,0,-0.0116,-4.1906
intersection_5_28,0,0,-0.1104,-39.7589
intersection_6_1,1,0,-0.1106,-39.8318
intersection_6_2,1,0,-0.0027,-0.9724
intersection_6_3,6,0,-0.002,-0.7365
intersection_6_4,2,0,-0.0034,-1.2344
intersection_6_5,1,0,-0.0029,-1.0354
intersection_6_6,1,0,-0.0003,-0.1151
intersection_6_7,0,0,-0.0026,-0.9297
intersection_6_8,1,0,-0.0078,-2.824
intersection_6_9,3,0,-0.0016,-0.5781
intersection_6_10,2,0,-0.0023,-0.8182
intersection_6_11,1,0,-0.0067,-2.4297
intersection_6_12,0,0,-0.0,-0.013
intersection_6_13,0,0,-0.0014,-0.4896
intersection_6_14,4,0,-0.0007,-0.2563
intersection_6_15,3,0,-0.0018,-0.649
intersection_6_16,4,0,-0.0011,-0.4005
intersection_6_17,3,0,-0.0018,-0.6318
intersection_6_18,5,0,-0.0003,-0.1214
intersection_6_19,4,0,-0.0009,-0.3286
intersection_6_20,2,0,-0.0033,-1.2047
intersection_6_21,4,0,-0.0037,-1.3307
intersection_6_22,0,0,-0.0082,-2.9365
intersection_6_23,4,0,-0.0015,-0.549
intersection_6_24,3,0,-0.0021,-0.751
intersection_6_25,3,0,-0.0014,-0.487
intersection_6_26,1,0,-0.003,-1.0813
intersection_6_27,1,0,-0.0025,-0.8958
intersection_6_28,1,0,-0.0981,-35.3255
intersection_7_1,0,0,-0.0575,-20.7047
intersection_7_2,0,0,-0.0114,-4.1016
intersection_7_3,0,0,-0.0277,-9.9693
intersection_7_4,1,0,-0.0228,-8.1958
intersection_7_5,0,0,-0.0262,-9.4438
intersection_7_6,0,0,-0.0344,-12.3802
intersection_7_7,0,0,-0.0284,-10.2135
intersection_7_8,0,0,-0.0388,-13.9771
intersection_7_9,0,0,-0.0409,-14.7089
intersection_7_10,0,0,-0.0392,-14.1224
intersection_7_11,0,0,-0.0286,-10.3063
intersection_7_12,0,0,-0.0405,-14.5672
intersection_7_13,1,0,-0.059,-21.2453
intersection_7_14,0,0,-0.0465,-16.7286
intersection_7_15,0,0,-0.0909,-32.7224
intersection_7_16,0,0,-0.0767,-27.6135
intersection_7_17,0,0,-0.0814,-29.3099
intersection_7_18,0,0,-0.0481,-17.312
intersection_7_19,0,0,-0.0877,-31.576
intersection_7_20,1,0,-0.0402,-14.4563
intersection_7_21,0,0,-0.0459,-16.5156
intersection_7_22,1,0,-0.0573,-20.6229
intersection_7_23,0,0,-0.0475,-17.1068
intersection_7_24,2,0,-0.0139,-5.0094
intersection_7_25,1,0,-0.0221,-7.9406
intersection_7_26,0,0,-0.0224,-8.0672
intersection_7_27,2,0,-0.0093,-3.3458
intersection_7_28,1,0,-0.0542,-19.5286
