junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_5_22,3,0,-0.0047,-1.6781
intersection_5_23,6,0,-0.0113,-4.0594
intersection_5_24,2,0,-0.0059,-2.1198
intersection_5_25,3,0,-0.0055,-1.9724
intersection_5_26,1,0,-0.0405,-14.5755
intersection_5_27,4,0,-0.0081,-2.9229
intersection_5_28,0,0,-0.1032,-37.1505
intersection_6_1,0,0,-0.089,-32.0307
intersection_6_2,2,1,-0.0164,-5.9146
intersection_6_3,6,0,-0.0003,-0.1026
intersection_6_4,3,0,-0.0012,-0.4307
intersection_6_5,0,0,-0.0022,-0.8057
intersection_6_6,4,0,-0.0007,-0.237
intersection_6_7,1,0,-0.0026,-0.9375
intersection_6_8,1,0,-0.0035,-1.2656
intersection_6_9,0,0,-0.0033,-1.1969
intersection_6_10,1,0,-0.0024,-0.8552
intersection_6_11,0,0,-0.0082,-2.9396
intersection_6_12,2,0,-0.0018,-0.6323
intersection_6_13,0,0,-0.0014,-0.4922
intersection_6_14,3,0,-0.0021,-0.7568
intersection_6_15,4,0,-0.0023,-0.8135
intersection_6_16,2,0,-0.0021,-0.7594
intersection_6_17,2,0,-0.0018,-0.6589
intersection_6_18,2,0,-0.0013,-0.4714
intersection_6_19,4,0,-0.0007,-0.2474
intersection_6_20,1,0,-0.0029,-1.0401
intersection_6_21,4,0,-0.001,-0.3609
intersection_6_22,0,0,-0.0065,-2.3229
intersection_6_23,1,0,-0.0031,-1.1328
intersection_6_24,2,0,-0.001,-0.3599
intersection_6_25,2,0,-0.0014,-0.487
intersection_6_26,1,0,-0.0027,-0.9568
intersection_6_27,1,0,-0.0048,-1.7443
intersection_6_28,1,1,-0.1064,-38.3193
intersection_7_1,0,0,-0.0397,-14.2984
intersection_7_2,0,0,-0.0278,-9.9917
intersection_7_3,1,0,-0.0375,-13.4896
intersection_7_4,0,0,-0.0233,-8.3703
intersection_7_5,1,0,-0.0127,-4.5599
intersection_7_6,0,0,-0.0134,-4.8083
intersection_7_7,1,0,-0.046,-16.5453
intersection_7_8,0,0,-0.0295,-10.6161
intersection_7_9,0,0,-0.0623,-22.4167
intersection_7_10,0,0,-0.0278,-9.9953
intersection_7_11,0,0,-0.0339,-12.2063
intersection_7_12,0,0,-0.0462,-16.6432
intersection_7_13,0,0,-0.0658,-23.6969
intersection_7_14,0,0,-0.0448,-16.1156
intersection_7_15,0,0,-0.0804,-28.9458
intersection_7_16,1,0,-0.0968,-34.8563
intersection_7_17,0,0,-0.062,-22.3354
intersection_7_18,1,0,-0.0635,-22.8766
intersection_7_19,1,0,-0.0752,-27.076
intersection_7_20,1,0,-0.0523,-18.8375
intersection_7_21,0,0,-0.0457,-16.4542
intersection_7_22,0,0,-0.0404,-14.55
intersection_7_23,3,1,-0.0516,-18.5865
intersection_7_24,1,0,-0.0148,-5.3313
intersection_7_25,1,0,-0.022,-7.9255
intersection_7_26,0,0,-0.0272,-9.7844
intersection_7_27,0,0,-0.0139,-5.0146
intersection_7_28,3,1,-0.0487,-17.5292
