junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_5_22,4,1,-0.0019,-0.6807
intersection_5_23,3,1,-0.0216,-7.763
intersection_5_24,2,1,-0.0022,-0.8021
intersection_5_25,5,1,-0.0085,-3.0688
intersection_5_26,0,0,-0.0445,-16.0323
intersection_5_27,0,0,-0.0134,-4.8203
intersection_5_28,0,0,-0.0933,-33.575
intersection_6_1,1,0,-0.1154,-41.5547
intersection_6_2,1,0,-0.0051,-1.8406
intersection_6_3,1,0,-0.0073,-2.6156
intersection_6_4,0,0,-0.0038,-1.3813
intersection_6_5,0,0,-0.0015,-0.5521
intersection_6_6,1,0,-0.0001,-0.0286
intersection_6_7,0,0,-0.0027,-0.9688
intersection_6_8,1,0,-0.0099,-3.5667
intersection_6_9,0,0,-0.0018,-0.6458
intersection_6_10,0,0,-0.0025,-0.9151
intersection_6_11,0,0,-0.0064,-2.2932
intersection_6_12,1,0,-0.0001,-0.0505
intersection_6_13,2,1,-0.0015,-0.5234
intersection_6_14,1,0,-0.0016,-0.5766
intersection_6_15,5,2,-0.0013,-0.4557
intersection_6_16,1,0,-0.0009,-0.3182
intersection_6_17,4,0,-0.0015,-0.5427
intersection_6_18,2,0,-0.001,-0.349
intersection_6_19,4,0,-0.0019,-0.6865
intersection_6_20,4,0,-0.0046,-1.6516
intersection_6_21,2,1,-0.002,-0.7281
intersection_6_22,1,0,-0.0049,-1.7505
intersection_6_23,2,0,-0.0073,-2.6188
intersection_6_24,1,0,-0.0028,-1.0193
intersection_6_25,1,0,-0.0013,-0.4792
intersection_6_26,0,0,-0.0032,-1.1625
intersection_6_27,2,0,-0.0024,-0.8781
intersection_6_28,1,0,-0.1088,-39.1839
intersection_7_1,0,0,-0.0131,-4.6995
intersection_7_2,0,0,-0.0259,-9.3417
intersection_7_3,0,0,-0.0363,-13.0641
intersection_7_4,0,0,-0.0255,-9.1771
intersection_7_5,0,0,-0.0247,-8.8781
