junction_id,llm_calls,llm_overrides,mean_reward,total_reward
J226,1,0,-0.1025,-184.3875
J208,3,2,-0.0211,-37.9313
J145,4,4,-0.0002,-0.2813
J199,6,4,-0.0105,-18.8625
J136,9,6,-0.0,-0.0375
J19,7,3,-0.0001,-0.15
J123,7,6,-0.0001,-0.1688
J190,4,4,-0.0,-0.0188
J93,9,7,-0.0,-0.075
J235,10,7,-0.0001,-0.1125
J66,2,2,-0.0,-0.0563
J57,5,4,-0.0011,-1.9125
J48,3,2,-0.0001,-0.2438
J29,9,7,-0.0001,-0.1688
J38,8,8,-0.0001,-0.2063
J75,7,5,-0.0001,-0.15
J84,6,6,-0.0003,-0.45
J105,7,5,-0.0214,-38.5125
J114,5,4,-0.0113,-20.2875
J10,2,1,-0.0003,-0.4875
J1,5,4,-0.0104,-18.7313
J46,8,8,-0.0106,-18.9938
J154,4,4,-0.0105,-18.8813
J163,1,1,-0.0008,-1.3688
J181,6,4,-0.0006,-1.1625
J172,5,4,-0.0109,-19.5375
J217,0,0,-0.0002,-0.3
J244,1,1,-0.0105,-18.8438
J227,0,0,-0.1916,-344.7187
J209,5,3,-0.0211,-37.95
J146,3,2,-0.0001,-0.0938
J200,6,4,-0.0001,-0.0938
J20,8,6,-0.0109,-19.5375
J124,4,3,-0.0001,-0.15
J191,6,6,-0.0001,-0.1125
J94,4,2,-0.0007,-1.2
J236,9,8,-0.0,-0.075
J67,2,2,-0.0001,-0.225
J58,5,5,-0.0003,-0.4875
J49,4,3,-0.0001,-0.15
J30,7,6,-0.0,-0.075
J39,7,4,-0.0004,-0.8063
J76,2,2,-0.0104,-18.7875
J85,10,9,-0.0007,-1.1813
J106,8,5,-0.0111,-19.8938
J115,11,10,-0.0109,-19.6875
J11,10,5,-0.0003,-0.4875
J2,5,4,-0.0001,-0.0938
J101,2,2,-0.0002,-0.3
J155,10,9,-0.0003,-0.6188
J164,2,2,-0.0006,-1.1438
J182,3,2,-0.0107,-19.3313
J173,10,5,-0.0107,-19.2
J218,4,3,-0.0001,-0.0938
J245,7,5,-0.0108,-19.4813
J137,2,2,-0.0111,-20.0438
J31,2,2,-0.0001,-0.0938
J77,3,2,-0.0321,-57.75
J86,1,0,-0.0003,-0.5063
J107,3,3,-0.0001,-0.2625
J116,3,1,-0.0004,-0.6375
J12,1,1,-0.0004,-0.6375
J3,2,1,-0.0004,-0.6375
J102,0,0,-0.0209,-37.5563
J156,5,3,-0.0108,-19.4813
J165,0,0,-0.0112,-20.1938
J183,6,5,-0.0109,-19.5375
J174,1,0,-0.0005,-0.975
J219,3,2,-0.0004,-0.8063
J246,3,2,-0.0,-0.075
J228,2,2,-0.1816,-326.7375
J210,2,1,-0.025,-44.9063
J147,3,1,-0.0111,-19.9125
J201,2,2,-0.0002,-0.3938
J138,0,0,-0.0105,-18.9563
J21,2,0,-0.0006,-1.1625
J125,2,1,-0.0107,-19.2938
J192,4,2,-0.0002,-0.3188
J95,3,1,-0.0109,-19.6125
J237,0,0,-0.0001,-0.1313
J68,0,0,-0.0001,-0.1875
J59,3,0,-0.0004,-0.675
J50,3,2,-0.0003,-0.45
J40,3,3,-0.0211,-37.9688
J247,6,6,-0.0001,-0.0938
J126,4,3,-0.0004,-0.7125
J193,3,1,-0.0,-0.0188
J96,4,3,-0.0002,-0.3188
J238,2,1,-0.0,-0.075
J69,3,3,-0.0,-0.0563
J60,2,1,-0.0108,-19.4438
J51,0,0,-0.0,-0.075
J32,0,0,-0.0,-0.0375
J41,1,1,-0.0108,-19.4625
J78,3,3,-0.0001,-0.1313
J87,2,1,-0.0105,-18.9375
J108,2,2,-0.0007,-1.3313
J117,3,2,-0.0012,-2.2125
J13,6,5,-0.0006,-1.0875
J4,5,4,-0.0003,-0.5625
J103,21,16,-0.0002,-0.3
J157,2,1,-0.0003,-0.5063
J166,4,3,-0.0003,-0.6
J184,0,0,-0.0106,-19.1438
J175,0,0,-0.0107,-19.1625
J220,9,8,-0.0107,-19.3313
J229,1,1,-0.1497,-269.4
J211,1,1,-0.0395,-71.0812
J148,1,1,-0.0122,-21.9563
J202,0,0,-0.0112,-20.175
J139,2,2,-0.0004,-0.7313
J22,1,1,-0.011,-19.7438
J88,0,0,-0.0209,-37.5938
J109,0,0,-0.0105,-18.8438
J118,1,1,-0.0002,-0.3188
J14,0,0,-0.0001,-0.1688
J5,2,1,-0.0106,-19.0875
J131,2,2,-0.0105,-18.975
J158,5,5,-0.0002,-0.4313
J167,10,9,-0.0221,-39.8063
J185,14,13,-0.0109,-19.6125
J176,9,7,-0.0111,-19.95
J221,4,2,-0.0108,-19.3688
J248,3,1,-0.0001,-0.1688
J140,3,1,-0.0005,-0.9
J23,2,2,-0.0218,-39.2625
J127,3,2,-0.0114,-20.4188
J194,2,2,-0.0011,-1.9688
J97,0,0,-0.0109,-19.5938
J239,5,4,-0.0108,-19.35
J70,3,2,-0.0001,-0.0938
J61,3,1,-0.001,-1.7813
