junction_id,llm_calls,llm_overrides,mean_reward,total_reward
J226,2,0,-0.053,-23.6813
J208,5,0,-0.0044,-1.95
J145,3,0,-0.0026,-1.1625
J199,3,0,-0.0005,-0.2438
J136,6,3,0.0,0.0
J19,2,0,-0.0013,-0.5813
J123,4,1,-0.0026,-1.1438
J190,6,2,0.0,0.0
J93,3,0,-0.0026,-1.1438
J235,5,2,-0.0034,-1.5188
J66,5,0,-0.0025,-1.1063
J57,4,1,-0.0025,-1.1063
J48,3,1,-0.0008,-0.375
J29,2,1,-0.0018,-0.8063
J38,6,0,-0.0005,-0.2063
J75,5,1,-0.0036,-1.5938
J84,5,0,-0.0011,-0.5063
J105,1,0,-0.0014,-0.6375
J114,4,2,-0.0016,-0.7313
J10,2,0,-0.002,-0.9
J1,2,0,-0.0018,-0.8063
J46,1,0,-0.0041,-1.8375
J154,4,0,-0.0037,-1.6688
J163,1,1,-0.0026,-1.1438
J181,2,0,-0.0026,-1.1625
J172,3,1,-0.0009,-0.4125
J217,0,0,-0.0002,-0.0938
J244,2,1,-0.0008,-0.375
J227,1,0,-0.0958,-42.8437
J209,4,0,-0.0002,-0.075
J146,2,1,-0.0001,-0.0375
J200,2,0,-0.0001,-0.0563
J20,1,0,-0.0002,-0.075
J124,2,0,-0.0008,-0.375
J191,2,1,-0.0002,-0.075
J94,2,0,-0.0009,-0.3938
J236,5,1,0.0,0.0
J67,3,0,-0.0022,-0.9938
J58,2,0,-0.0007,-0.3
J49,1,1,-0.0002,-0.0938
J30,2,1,-0.0002,-0.075
J39,2,0,-0.0026,-1.1438
J76,1,0,-0.0034,-1.5
J85,5,2,-0.0022,-0.9938
J106,1,0,-0.0008,-0.3563
J115,4,2,-0.0037,-1.65
J11,3,0,-0.0027,-1.2188
J2,0,0,-0.0009,-0.3938
J101,1,1,-0.0014,-0.6375
J155,1,0,-0.003,-1.35
J164,2,1,-0.0028,-1.2563
J182,0,0,-0.0011,-0.4875
J173,2,1,-0.002,-0.8813
J218,2,0,-0.0038,-1.7063
J245,4,2,-0.0021,-0.9563
J137,0,0,-0.0002,-0.075
J31,3,1,-0.0021,-0.9188
J77,1,0,-0.0026,-1.1438
J86,1,0,-0.0015,-0.6563
J107,1,0,-0.0001,-0.0375
J116,0,0,-0.0009,-0.4125
J12,1,0,-0.001,-0.45
J3,0,0,-0.0001,-0.0375
J102,3,0,-0.0019,-0.8438
J156,1,0,-0.0025,-1.1063
J165,1,0,-0.0006,-0.2625
J183,0,0,-0.0016,-0.7125
J174,2,0,-0.0029,-1.275
J219,3,1,-0.0029,-1.3125
J246,3,1,-0.0018,-0.7875
J228,2,1,-0.093,-41.55
J210,1,0,-0.0078,-3.4688
J147,1,0,-0.0031,-1.4063
J201,0,0,-0.0016,-0.6938
J138,1,0,-0.0021,-0.9563
J21,1,1,-0.0013,-0.5625
J125,1,0,-0.0016,-0.6938
J192,1,0,-0.0003,-0.15
J95,1,0,-0.0018,-0.8063
J237,1,0,0.0,0.0
J68,0,0,-0.0001,-0.0375
J59,0,0,-0.0013,-0.5813
J50,0,0,-0.0014,-0.6375
J40,1,0,-0.0016,-0.7125
J247,1,0,-0.0001,-0.0563
J126,2,0,-0.0044,-1.9688
J193,4,1,-0.0001,-0.0375
J96,2,1,-0.0025,-1.125
J238,2,0,-0.0008,-0.375
J69,3,0,-0.0005,-0.225
J60,2,0,-0.0021,-0.9375
J51,2,0,-0.0042,-1.8938
J32,3,1,-0.001,-0.4313
J41,1,1,-0.0003,-0.1313
J78,1,0,-0.0,-0.0188
J87,1,0,-0.0001,-0.0563
J108,0,0,-0.0012,-0.5438
J117,0,0,-0.0023,-1.0313
J13,3,1,-0.0024,-1.0875
J4,2,0,-0.0015,-0.6563
J103,4,0,-0.0022,-0.9938
J157,5,2,-0.0013,-0.6
J166,0,0,-0.0002,-0.075
J184,2,0,-0.0005,-0.225
J175,0,0,0.0,0.0
J220,3,0,-0.0,-0.0188
J229,0,0,-0.1196,-53.475
J211,1,1,-0.0314,-14.0438
J148,0,0,-0.0055,-2.475
J202,4,2,-0.0042,-1.8938
J139,3,0,-0.0025,-1.125
J22,0,0,-0.0048,-2.1563
J88,0,0,-0.0003,-0.1313
J109,1,0,0.0,0.0
J118,2,1,-0.0007,-0.3
J14,1,0,-0.0007,-0.3
J5,0,0,-0.0019,-0.8438
J131,1,1,-0.0026,-1.1625
J158,4,0,-0.0047,-2.0813
J167,1,0,-0.0005,-0.225
J185,4,0,-0.0013,-0.5625
J176,4,2,-0.0005,-0.2063
J221,0,0,-0.0015,-0.6563
J248,5,1,-0.0022,-0.975
J140,1,0,-0.0021,-0.9375
J23,1,0,-0.0095,-4.2563
J127,2,0,-0.0045,-2.0063
J194,3,0,-0.0019,-0.8625
J97,0,0,-0.0021,-0.9188
J239,2,0,-0.0008,-0.375
J70,2,1,-0.0006,-0.2625
J61,0,0,-0.0055,-2.475
J52,3,0,-0.0065,-2.9063
J33,3,1,-0.0045,-2.025
J42,3,0,-0.004,-1.8
J79,1,0,-0.0001,-0.0563
J230,0,0,-0.0786,-35.1563
J212,1,0,-0.0182,-8.1188
J149,1,0,-0.0075,-3.3375
J203,3,0,-0.0039,-1.7625
J98,2,1,-0.0002,-0.075
J71,2,0,-0.001,-0.4313
J62,3,0,-0.0039,-1.7438
J53,2,1,-0.0021,-0.9563
J34,4,0,-0.0018,-0.825
J43,2,1,-0.0015,-0.675
J80,6,2,-0.0036,-1.5938
J89,1,0,-0.0032,-1.4438
J110,1,0,-0.004,-1.7813
J119,1,0,-0.0057,-2.5313
J15,3,1,-0.0047,-2.0813
J6,6,2,-0.0087,-3.9
J132,0,0,-0.0059,-2.6438
J159,4,1,-0.0066,-2.9625
J168,2,0,-0.0097,-4.3313
J186,2,0,-0.0032,-1.4438
J177,6,1,-0.0029,-1.2938
J222,0,0,-0.0001,-0.0563
J249,13,4,-0.0059,-2.6438
J231,0,0,-0.0699,-31.2562
J213,0,0,-0.0173,-7.7438
J150,3,0,-0.0098,-4.3875
J204,3,0,-0.0035,-1.5563
J141,3,0,-0.0043,-1.9313
J24,2,0,-0.0015,-0.675
J128,3,3,-0.0005,-0.2438
J195,8,0,-0.0001,-0.0375
J240,3,1,-0.0002,-0.075
J160,2,0,-0.0049,-2.1938
J232,0,0,-0.0367,-16.3875
J214,2,0,-0.0061,-2.7188
J151,5,2,-0.0086,-3.8625
J205,0,0,-0.0018,-0.7875
J142,3,0,-0.0025,-1.125
J25,0,0,-0.0046,-2.0625
J129,6,0,-0.0022,-0.9938
J196,3,1,-0.0028,-1.2563
J99,5,0,-0.0043,-1.9125
J241,2,0,-0.0023,-1.0125
J72,1,0,-0.0024,-1.0875
J63,2,0,-0.0023,-1.0313
