junction_id,llm_calls,llm_overrides,mean_reward,total_reward
J214,0,0,-0.0179,-10.275
J151,0,0,-0.0154,-8.8688
J205,2,1,-0.0076,-4.35
J142,1,0,-0.0083,-4.7438
J25,4,1,-0.0083,-4.7625
J129,7,3,-0.0049,-2.8313
J196,7,5,-0.0035,-2.025
J99,2,0,-0.0035,-2.025
J241,3,0,-0.0036,-2.0438
J72,0,0,-0.0036,-2.0813
J63,6,3,-0.0046,-2.625
J54,5,4,-0.0021,-1.1813
J35,7,2,-0.0052,-2.9625
J44,2,1,-0.0039,-2.2688
J81,8,4,-0.0071,-4.0688
J90,6,1,-0.0062,-3.5625
J111,4,1,-0.0021,-1.2188
J120,6,4,-0.0029,-1.6688
J16,3,1,-0.0019,-1.0875
J7,1,0,-0.0024,-1.4063
J133,3,0,-0.0023,-1.3313
J169,4,1,-0.0083,-4.7438
J187,11,7,-0.0032,-1.8375
J178,4,1,-0.0009,-0.525
J223,0,0,-0.0008,-0.4875
J250,12,4,-0.0061,-3.525
