created_files,family,label,llm_calls,llm_calls_from_steps_last,llm_failures,llm_overrides,mean_reward,model,output_dir,override_rate_%,safety_adjustments,source_dir,step_mean_reward,steps,total_reward,total_sim_steps,wall_clock_s
18,llm,LLM_outputs\Jinan\llama-3.3-70b-versatile\safegat_cityflow_live_output,164,164,132,9,-54.390071868896484,llama-3.3-70b-versatile,replicated_plot_outputs\LLM_outputs\Jinan\llama-3.3-70b-versatile\safegat_cityflow_live_output,5.49,9,LLM_outputs\Jinan\llama-3.3-70b-versatile\safegat_cityflow_live_output,-0.15108354694934356,360,-652.6808471679688,360,10403.3
18,llm,LLM_outputs\Jinan\llama_3.1-8b-instant\safegat_cityflow_live_output,144,144,144,0,-56.35591506958008,llama_3.1-8b-instant,replicated_plot_outputs\LLM_outputs\Jinan\llama_3.1-8b-instant\safegat_cityflow_live_output,0.0,0,LLM_outputs\Jinan\llama_3.1-8b-instant\safegat_cityflow_live_output,-0.15654420576110067,360,-676.27099609375,360,2147.1
18,llm,LLM_outputs\Jinan\meta-llamallama-4-scout-17b-16e-instruct\safegat_cityflow_live_output,245,245,84,119,-54.0009651184082,meta-llamallama-4-scout-17b-16e-instruct,replicated_plot_outputs\LLM_outputs\Jinan\meta-llamallama-4-scout-17b-16e-instruct\safegat_cityflow_live_output,48.57,62,LLM_outputs\Jinan\meta-llamallama-4-scout-17b-16e-instruct\safegat_cityflow_live_output,-0.15000265155298015,360,-648.0115966796875,360,10756.0
18,llm,LLM_outputs\Jinan\openaigpt-oss-120b\safegat_cityflow_live_output,144,144,144,0,-59.21522903442383,openaigpt-oss-120b,replicated_plot_outputs\LLM_outputs\Jinan\openaigpt-oss-120b\safegat_cityflow_live_output,0.0,0,LLM_outputs\Jinan\openaigpt-oss-120b\safegat_cityflow_live_output,-0.1644867621258729,360,-710.582763671875,360,2145.5
18,llm,LLM_outputs\Jinan\qwenqwen3-32b\safegat_cityflow_live_output,190,190,144,10,-56.1964111328125,qwenqwen3-32b,replicated_plot_outputs\LLM_outputs\Jinan\qwenqwen3-32b\safegat_cityflow_live_output,5.26,7,LLM_outputs\Jinan\qwenqwen3-32b\safegat_cityflow_live_output,-0.1561011343728751,360,-674.35693359375,360,12937.3
18,llm,LLM_outputs\New York\llama-3.3-70b-versatile\safegat_cityflow_live_output,360,360,327,17,-12.462135314941406,llama-3.3-70b-versatile,replicated_plot_outputs\LLM_outputs\New_York\llama-3.3-70b-versatile\safegat_cityflow_live_output,4.72,17,LLM_outputs\New York\llama-3.3-70b-versatile\safegat_cityflow_live_output,-0.03461703728114824,360,-2442.57861328125,360,25156.2
18,llm,LLM_outputs\New York\llama_3.1-8b-instant\safegat_cityflow_live_output,360,360,358,1,-12.475412368774414,llama_3.1-8b-instant,replicated_plot_outputs\LLM_outputs\New_York\llama_3.1-8b-instant\safegat_cityflow_live_output,0.28,1,LLM_outputs\New York\llama_3.1-8b-instant\safegat_cityflow_live_output,-0.03465392231672821,360,-2445.180908203125,360,6738.3
18,llm,LLM_outputs\New York\meta-llamallama-4-scout-17b-16e-instruct\safegat_cityflow_live_output,360,360,190,82,-12.417987823486328,meta-llamallama-4-scout-17b-16e-instruct,replicated_plot_outputs\LLM_outputs\New_York\meta-llamallama-4-scout-17b-16e-instruct\safegat_cityflow_live_output,22.78,47,LLM_outputs\New York\meta-llamallama-4-scout-17b-16e-instruct\safegat_cityflow_live_output,-0.03449440236161334,360,-2433.925537109375,360,21611.2
18,llm,LLM_outputs\New York\openaigpt-oss-120b\safegat_cityflow_live_output,360,360,360,0,-12.445975303649902,openaigpt-oss-120b,replicated_plot_outputs\LLM_outputs\New_York\openaigpt-oss-120b\safegat_cityflow_live_output,0.0,0,LLM_outputs\New York\openaigpt-oss-120b\safegat_cityflow_live_output,-0.03457215057941438,360,-2439.4111328125,360,5385.3
18,llm,LLM_outputs\New York\qwenqwen3-32b\safegat_cityflow_live_output,360,360,273,33,-12.408761024475098,qwenqwen3-32b,replicated_plot_outputs\LLM_outputs\New_York\qwenqwen3-32b\safegat_cityflow_live_output,9.17,25,LLM_outputs\New York\qwenqwen3-32b\safegat_cityflow_live_output,-0.03446877398706016,360,-2432.1171875,360,23632.9
20,cityflow,NewYork\28_7\safegat_cityflow_live_output,360,360,360,0,-12.445975303649902,,replicated_plot_outputs\NewYork\28_7\safegat_cityflow_live_output,0.0,0,NewYork\28_7\safegat_cityflow_live_output,-0.03457215057941438,360,-2439.4111328125,360,5385.3
